,Index,AtomicWeight Inversed Log,AtomicNumber Inversed Log,Bond dissociation energy Inversed Log,AtomicPeriod Inversed Log,Electronegativity Inversed Log,MolarVolume Inversed Log,AtomicGroup Inversed Log,Assumed CN Inversed Log,EmpiricalRadius Inversed Log,CalculaterRadius Inversed Log,Oxidation_States Inversed Log,Poisson's ratio v
0,# 3556,-1.3857848754187474,-2.0894108731719245,2.6907619324700325,9.654609125305052,3.3608328825147846,-9.737471103616206,2.051596828344402,32.54029902960906,3.9822951298842453,5.369554013195101,3.1129222808981494,0.195
1,# 2245,-1.2023128714587294,-1.6619488308078199,3.4733371219244815,10.605426531007117,-2.8400227432103184,5.375573648268284,-7.191739578639169,2.089464791117603,1.5933877016347544,1.69113139435155,-2.541866496573728,0.25
2,# 3751,-0.37176152539100094,-0.4149260461636141,1.0506049118471603,-0.029111652501670717,2.0509228662042105,-0.4581141788179343,1.6240269585087492,-0.7639982329179464,-0.7454758859863319,-1.0448769357178502,269.3005485044792,0.275
3,# 591,-1.0054371481164512,-1.3559841167141855,1.9971418456374148,-3.8294923411445554,2.528651979395105,-2.0650882973155387,1.7780882394457067,-2.045889679090381,-10.198434088893306,-16.771737116820063,2.550951247577617,0.158
4,# 3558,-1.3234441058539952,-1.9537924812723657,2.7957983259525774,16.19948396876653,3.2047260779991187,-7.814406605282091,2.051596828344402,202.9221602533577,4.488713788043,6.948542239353008,3.1129222808981494,0.174
5,# 2611,9.410277529340359,5.145279605068355,3.6116756251410886,1.972877070174134,3.8407193860107953,7.41643325114455,2.2516641997372533,2.7699743260011784,1.8637543050755363,2.3825521474634948,8.030112108008101,0.294
6,# 996,-0.9554003779514288,-1.2376677531982458,1.7970368129108214,-4.304592973691005,4.9305283083704605,-4.315179303964964,2.686912208732387,27.24978678178305,5.57398747757218,6.484258817913176,30.146486893636865,0.21899999999999997
7,# 1238,-0.5259559694286691,-0.5957278386080714,1.2536816567711386,-0.8512436983166265,11.64014687766215,-1.6621856216775337,4.481434353436697,-11.690497721024101,-30.621898473122393,30.34628756128659,-1.81620904395612,0.226
8,# 4533,-0.6894062985834473,-0.8251114423016483,1.3384135397385308,-1.3488097651441158,3.2485001528195916,-1.6386311813162764,2.184861858206215,-4.302644396399118,-6.383852242374173,-7.332970526792773,-22.99387063463081,0.257
9,# 4601,-0.6251838830822646,-0.7200204027833932,1.4438723068746202,-1.4528622743017174,-3.9924378982915063,-4.784241797913905,-9.896981417634873,3.7117152567579086,3.042882836239984,2.8774593707095493,-0.9036158184613254,0.28600000000000003
